Best Screenplay - Motion Picture,"Ben Maddow, John Huston",1951
Best Original Score - Motion Picture,Franz Waxman,1951
Best Original Score - Motion Picture,Leith Stevens,1951
Best Original Score - Motion Picture,Bronislau Kaper,1951
Promoting International Understanding,Delmer Daves,1951
Promoting International Understanding,George Seaton,1951
Promoting International Understanding,William A. Wellman,1951
New Star Of The Year,Gene Nelson,1951
New Star Of The Year,Mala Powers,1951
New Star Of The Year,Debbie Reynolds,1951
Picture,Sunset Boulevard,1951
Picture,Born Yesterday,1951
Picture,Cyrano de Bergerac (1950),1951
Actress In A Leading Role - Musical Or Comedy,Judy Holliday,1951
Actress In A Leading Role - Musical Or Comedy,Spring Byington,1951
Actress In A Leading Role - Musical Or Comedy,Betty Hutton,1951
Henrietta Award (World Film Favorites),Gregory Peck,1951
Henrietta Award (World Film Favorites),Jane Wyman,1951
Cinematography - Color,Robert L. Surtees,1951
Cinematography - Color,Ernest Palmer,1951
Cinematography - Color,George Barnes,1951
Cinematography - Black And White,Franz F. Planer,1951
Cinematography - Black And White,Harold Rosson,1951
Cinematography - Black And White,John F. Seitz,1951
Best Motion Picture - Drama,A Place In The Sun,1952
Best Motion Picture - Drama,Quo Vadis?,1952
Best Motion Picture - Drama,A Streetcar Named Desire (1951),1952
Best Motion Picture - Drama,Bright Victory,1952
Best Motion Picture - Drama,Detective Story,1952
Best Motion Picture - Musical or Comedy,An American In Paris,1952
Best Performance by an Actress in a Motion Picture - Drama,Jane Wyman,1952
Best Performance by an Actress in a Motion Picture - Drama,Vivien Leigh,1952
Best Performance by an Actress in a Motion Picture - Drama,Shelley Winters,1952
Best Performance by an Actor in a Motion Picture - Drama,Fredric March,1952
Best Performance by an Actor in a Motion Picture - Drama,Kirk Douglas,1952
Best Performance by an Actor in a Motion Picture - Drama,Arthur Kennedy,1952
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,1952
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bing Crosby,1952
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gene Kelly,1952
Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Hunter,1952
Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,1952
Best Performance by an Actress in a Supporting Role in any Motion Picture,Thelma Ritter,1952
Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Ustinov,1952
Best Director - Motion Picture,Laslo Benedek,1952
Best Director - Motion Picture,Vincente Minnelli,1952
Best Director - Motion Picture,George Stevens,1952
Best Screenplay - Motion Picture,Robert Buckner,1952
Best Original Score - Motion Picture,Victor Young,1952
Best Original Score - Motion Picture,Bernard Herrmann,1952
Best Original Score - Motion Picture,Dimitri Tiomkin,1952
Promoting International Understanding,Robert Wise,1952
Special Achievement Award,Alain Resnais,1952
New Star Of The Year - Actress,Pier Angeli,1952
New Star Of The Year - Actor,Kevin McCarthy,1952
Actress In A Leading Role - Musical Or Comedy,June Allyson,1952
Henrietta Award (World Film Favorite),Esther Williams,1952
Henrietta Award (World Film Favorite),Alan Ladd,1952
Cinematography - Color,William V. Skall,1952
Cinematography - Black And White,Franz F. Planer,1952
Cinematography - Black And White,Franz F. Planer,1952
Cinematography - Black And White,William C. Mellor,1952
Best Motion Picture - Drama,The Greatest Show On Earth,1953
Best Motion Picture - Drama,"Come Back, Little Sheba",1953
Best Motion Picture - Drama,The Happy Time,1953
Best Motion Picture - Drama,High Noon,1953
Best Motion Picture - Drama,The Thief,1953
Best Motion Picture - Musical or Comedy,With a Song in My Heart,1953
Best Motion Picture - Musical or Comedy,Hans Christian Andersen,1953
Best Motion Picture - Musical or Comedy,I'll See You in My Dreams,1953
Best Motion Picture - Musical or Comedy,Singin' in the Rain,1953
Best Motion Picture - Musical or Comedy,Star and Stripes Forever,1953
Best Performance by an Actress in a Motion Picture - Drama,Shirley Booth,1953
Best Performance by an Actress in a Motion Picture - Drama,Joan Crawford,1953
Best Performance by an Actress in a Motion Picture - Drama,Olivia de Havilland,1953
Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,1953
Best Performance by an Actor in a Motion Picture - Drama,Charles Boyer,1953
Best Performance by an Actor in a Motion Picture - Drama,Ray Milland,1953
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Donald O'Connor,1953
